id,name,location,salary,ph_no,email
1,raj,chennai,10000,8056507979,raj@gmail.com
2,jack,,15000,9442513253,jack@gmail.com
3,paari,chennai,15000,7654290272,paari@yahoo.com
4,kumar,chennai,20000,9865378372,kumar@linux.com
5,rahul,cuddalur,20000,968354382,rahul@gmail.com
6,messi,,30000,9737297428,messi@yahoo.com
7,tharun,thiruvallur,40000,9863966922,tharun@yahoo.com
8,viswa,ariyalur,40000,9345297582,viswa@gmail.com
9,kumba,thiruvallur,15000,8983926582,kumar@linux.com
10,karthick,ariyalur,200000,9326438583,karthick@yahoo.com
